B1,OF06,1,25/12/2018,12:59,-4
B1,OF06,1,25/12/2018,13:00,-1
B1,OF06,1,25/12/2018,13:02,0
B1,OF06,1,25/12/2018,13:17,0
B1,OF06,1,25/12/2018,13:32,0
B1,OF06,1,25/12/2018,13:47,0
B1,OF06,1,25/12/2018,14:02,0
B1,OF06,1,25/12/2018,14:17,-1
B1,OF06,1,25/12/2018,14:32,-1
B1,OF06,1,25/12/2018,14:47,0
B1,OF06,1,25/12/2018,15:02,0
B1,OF06,1,25/12/2018,15:17,0
B1,OF06,1,25/12/2018,15:32,0
B1,OF06,1,25/12/2018,15:47,0
B1,OF06,1,25/12/2018,16:02,0
B1,OF06,1,25/12/2018,16:17,0
B1,OF06,1,25/12/2018,16:32,0
B1,OF06,1,25/12/2018,16:47,0
B1,OF06,1,25/12/2018,17:02,0
B1,OF06,1,25/12/2018,17:17,0
B1,OF06,1,25/12/2018,17:32,0
B1,OF06,1,25/12/2018,17:47,0
B1,OF06,1,26/12/2018,07:32,-1
B1,OF06,1,26/12/2018,07:47,0
B1,OF06,1,26/12/2018,08:02,0
B1,OF06,1,26/12/2018,08:17,0
B1,OF06,1,26/12/2018,08:32,0
B1,OF06,1,26/12/2018,08:47,0
B1,OF06,1,26/12/2018,09:02,0
B1,OF06,1,26/12/2018,09:17,-1
B1,OF06,1,26/12/2018,09:32,-1
B1,OF06,1,26/12/2018,09:47,0
B1,OF06,1,26/12/2018,10:02,0
B1,OF06,1,26/12/2018,10:17,0
B1,OF06,1,26/12/2018,10:32,0
B1,OF06,1,26/12/2018,10:47,0
B1,OF06,1,26/12/2018,11:02,0
B1,OF06,1,26/12/2018,11:17,0
B1,OF06,1,26/12/2018,11:32,0
B1,OF06,1,26/12/2018,11:47,0
B1,OF06,1,26/12/2018,12:02,0
B1,OF06,1,26/12/2018,12:17,0
B1,OF06,1,26/12/2018,12:32,0
B1,OF06,1,26/12/2018,12:47,0
B1,OF06,1,26/12/2018,13:02,0
B1,OF06,1,26/12/2018,13:17,0
B1,OF06,1,26/12/2018,13:32,0
B1,OF06,1,26/12/2018,13:47,0
B1,OF06,1,26/12/2018,14:02,0
B1,OF06,1,26/12/2018,14:17,0
B1,OF06,1,26/12/2018,14:32,0
B1,OF06,1,26/12/2018,14:47,0
B1,OF06,1,26/12/2018,15:17,0
B1,OF06,1,26/12/2018,15:32,0
B1,OF06,1,26/12/2018,15:47,0
B1,OF06,1,26/12/2018,16:02,0
B1,OF06,1,26/12/2018,16:17,0
B1,OF06,1,26/12/2018,16:47,-1
B1,OF06,1,26/12/2018,17:02,0
B1,OF06,1,26/12/2018,17:17,0
B1,OF06,1,26/12/2018,17:32,0
B1,OF06,1,26/12/2018,17:47,0
B1,OF06,1,27/12/2018,07:32,-1
B1,OF06,1,27/12/2018,07:47,0
B1,OF06,1,27/12/2018,08:02,0
B1,OF06,1,27/12/2018,08:17,0
B1,OF06,1,27/12/2018,08:32,0
B1,OF06,1,27/12/2018,08:47,0
B1,OF06,1,27/12/2018,09:02,0
B1,OF06,1,27/12/2018,09:17,0
B1,OF06,1,27/12/2018,09:32,0
B1,OF06,1,27/12/2018,09:47,-1
B1,OF06,1,27/12/2018,10:02,0
B1,OF06,1,27/12/2018,10:17,0
